5-07-06T00:00:2070Z] (neutral)  [#you said #seg-2071]

[reflection] [2025-07-06T00:00:2073Z] (neutral)  [#you said #seg-2074]

[reflection] [2025-07-06T00:00:2078Z] (neutral)  [#you said #seg-2079]

[reflection] [2025-07-06T00:00:2083Z] (neutral)  [#you said #seg-2084]

[reflection] [2025-07-06T00:00:2087Z] (neutral)  [#you said #seg-2088]

[reflection] [2025-07-06T00:00:2091Z] (neutral)  [#you said #seg-2092]

[reflection] [2025-07-06T00:00:2093Z] (neutral)  [#you said #seg-2094]

[reflection] [2025-07-06T00:00:2096Z] (neutral)  [#you said #seg-2097]

[reflection] [2025-07-06T00:00:2106Z] (neutral)  [#you said #seg-2107]

[reflection] [2025-07-06T00:00:2111Z] (neutral)  [#you said #seg-2112]

[reflection] [2025-07-06T00:00:2113Z] (neutral)  [#you said #seg-2114]

[reflection] [2025-07-06T00:00:2116Z] (neutral)  [#you said #seg-2117]

[reflection] [2025-07-06T00:00:2123Z] (neutral)  [#you said #seg-2124]

[reflection] [2025-07-06T00:00:2127Z] (neutral)  [#you said #seg-2128]

[reflection] [2025-07-06T00:00:2127Z] (neutral)  [#you said #seg-2128]

[reflection] [2025-07-06T00:00:2128Z] (neutral)  [#you said #seg-2129]

[reflection] [2025-07-06T00:00:2135Z] (neutral)  [#you said #seg-2136]

[reflection] [2025-07-06T00:00:2139Z] (neutral)  [#you said #seg-2140]

[reflection] [2025-07-06T00:00:2139Z] (neutral)  [#you said #seg-2140]

[reflection] [2025-07-06T00:00:2142Z] (neutral)  [#you said #seg-2143]

[reflection] [2025-07-06T00:00:2143Z] (neutral)  [#you said #seg-2144]

[reflection] [2025-07-06T00:00:2149Z] (neutral)  [#you said #seg-2150]

[reflection] [2025-07-06T00:00:2149Z] (neutral)  [#you said #seg-2150]

[reflection] [2025-07-06T00:00:2154Z] (neutral)  [#you said #seg-2155]

[reflection] [2025-07-06T00:00:2160Z] (neutral)  [#you said #seg-2161]

[reflection] [2025-07-06T00:00:2164Z] (neutral)  [#you said #seg-2165]

[reflection] [2025-07-06T00:00:2167Z] (neutral)  [#you said #seg-2168]

[reflection] [2025-07-06T00:00:2192Z] (neutral)  [#you said #seg-2193]

[reflection] [2025-07-06T00:00:2195Z] (neutral)  [#you said #seg-2196]

[reflection] [2025-07-06T00:00:2195Z] (neutral)  [#you said #seg-2196]

[reflection] [2025-07-06T00:00:2199Z] (neutral)  [#you said #seg-2200]

[reflection] [2025-07-06T00:00:2199Z] (neutral)  [#you said #seg-2200]

[reflection] [2025-07-06T00:00:2202Z] (neutral)  [#you said #seg-2203]

[reflection] [2025-07-06T00:00:2206Z] (neutral)  [#you said #seg-2207]

[reflection] [2025-07-06T00:00:2208Z] (neutral)  [#you said #seg-2209]

[reflection] [2025-07-06T00:00:2212Z] (neutral)  [#you said #seg-2213]

[reflection] [2025-07-06T00:00:2217Z] (neutral)  [#you said #seg-2218]

[reflection] [2025-07-06T00:00:2221Z] (neutral)  [#you said #seg-2222]

[reflection] [2025-07-06T00:00:2224Z] (neutral)  [#you said #seg-2225]

[reflection] [2025-07-06T00:00:2228Z] (neutral)  [#you said #seg-2229]

[reflection] [2025-07-06T00:00:2230Z] (neutral)  [#you said #seg-2231]

[reflection] [2025-07-06T00:00:2231Z] (neutral)  [#you said #seg-2232]

[reflection] [2025-07-06T00:00:2238Z] (neutral)  [#you said #seg-2239]

[reflection] [2025-07-06T00:00:2248Z] (neutral)  [#you said #seg-2249]

[reflection] [2025-07-06T00:00:2248Z] (neutral)  [#you said #seg-2249]

[reflection] [2025-07-06T00:00:2250Z] (neutral)  [#you said #seg-2251]

[reflection] [2025-07-06T00:00:2251Z] (neutral)  [#you said #seg-2252]

[reflection] [2025-07-06T00:00:2254Z] (neutral)  [#you said #seg-2255]

[reflection] [2025-07-06T00:00:2261Z] (neutral)  [#you said #seg-2262]

[reflection] [2025-07-06T00:00:2261Z] (neutral)  [#you said #seg-2262]

[reflection] [2025-07-06T00:00:2261Z] (neutral)  [#you said #seg-2262]

[reflection] [2025-07-06T00:00:2267Z] (neutral)  [#you said #seg-2268]

[reflection] [2025-07-06T00:00:2270Z] (neutral)  [#you said #seg-2271]

[reflection] [2025-07-06T00:00:2274Z] (neutral)  [#you said #seg-2275]

[reflection] [2025-07-06T00:00:2278Z] (neutral)  [#you said #seg-2279]

[reflection] [2025-07-06T00:00:2282Z] (neutral)  [#you said #seg-2283]

[reflection] [2025-07-06T00:00:2285Z] (neutral)  [#you said #seg-2286]

[reflection] [2025-07-06T00:00:2290Z] (neutral)  [#you said #seg-2291]

[reflection] [2025-07-06T00:00:2296Z] (neutral)  [#you said #seg-2297]

[reflection] [2025-07-06T00:00:2303Z] (neutral)  [#you said #seg-2304]

[reflection] [2025-07-06T00:00:2312Z] (neutral)  [#you said #seg-2313]

[reflection] [2025-07-06T00:00:2322Z] (neutral)  [#you said #seg-2323]

[reflection] [2025-07-06T00:00:2330Z] (neutral)  [#you said #seg-2331]

[reflection] [2025-07-06T00:00:2335Z] (neutral)  [#you said #seg-2336]

[reflection] [2025-07-06T00:00:2339Z] (neutral)  [#you said #seg-2340]

[reflection] [2025-07-06T00:00:2339Z] (neutral)  [#you said #seg-2340]

[reflection] [2025-07-06T00:00:2342Z] (neutral)  [#you said #seg-2343]

[reflection] [2025-07-06T00:00:2349Z] (neutral)  [#you said #seg-2350]

[reflection] [2025-07-06T00:00:2352Z] (neutral)  [#you said #seg-2353]

[reflection] [2025-07-06T00:00:2352Z] (neutral)  [#you said #seg-2353]

[reflection] [2025-07-06T00:00:2361Z] (neutral)  [#you said #seg-2362]

[reflection] [2025-07-06T00:00:2369Z] (neutral)  [#you said #seg-2370]

[reflection] [2025-07-06T00:00:2369Z] (neutral)  [#you said #seg-2370]

[reflection] [2025-07-06T00:00:2376Z] (neutral)  [#you said #seg-2377]

[reflection] [2025-07-06T00:00:2376Z] (neutral)  [#you said #seg-2377]

[reflection] [2025-07-06T00:00:2376Z] (neutral)  [#you said #seg-2377]

[reflection] [2025-07-06T00:00:2383Z] (neutral)  [#you said #seg-2384]

[reflection] [2025-07-06T00:00:2383Z] (neutral)  [#you said #seg-2384]

[reflection] [2025-07-06T00:00:2387Z] (neutral)  [#you said #seg-2388]

[reflection] [2025-07-06T00:00:2391Z] (neutral)  [#you said #seg-2392]

[reflection] [2025-07-06T00:00:2397Z] (neutral)  [#you said #seg-2398]

[reflection] [2025-07-06T00:00:2402Z] (neutral)  [#you said #seg-2403]

[reflection] [2025-07-06T00:00:2406Z] (neutral)  [#you said #seg-2407]

[reflection] [2025-07-06T00:00:2410Z] (neutral)  [#you said #seg-2411]

[reflection] [2025-07-06T00:00:2413Z] (neutral)  [#you said #seg-2414]

[reflection] [2025-07-06T00:00:2416Z] (neutral)  [#you said #seg-2417]

[reflection] [2025-07-06T00:00:2420Z] (neutral)  [#you said #seg-2421]

[reflection] [2025-07-06T00:00:2435Z] (neutral)  [#you said #seg-2436]

[reflection] [2025-07-06T00:00:2441Z] (neutral)  [#you said #seg-2442]

[reflection] [2025-07-06T00:00:2453Z] (neutral)  [#you said #seg-2454]

[reflection] [2025-07-06T00:00:2453Z] (neutral)  [#you said #seg-2454]

[reflection] [2025-07-06T00:00:2459Z] (neutral)  [#you said #seg-2460]

[reflection] [2025-07-06T00:00:2465Z] (neutral)  [#you said #seg-2466]

