[2025-07-06T00:00:00Z] (neutral)  [#you said #seg-001]
[2025-07-06T00:00:01Z] (neutral)  [#you said #seg-002]
[2025-07-06T00:00:03Z] (neutral)  [#you said #seg-004]
[2025-07-06T00:00:09Z] (neutral)  [#you said #seg-010]
[2025-07-06T00:00:19Z] (neutral)  [#you said #seg-020]
[2025-07-06T00:00:26Z] (neutral)  [#you said #seg-027]
[2025-07-06T00:00:33Z] (neutral)  [#you said #seg-034]
[2025-07-06T00:00:37Z] (neutral)  [#you said #seg-038]
[2025-07-06T00:00:43Z] (neutral)  [#you said #seg-044]
[2025-07-06T00:00:44Z] (neutral)  [#you said #seg-045]
[2025-07-06T00:00:48Z] (neutral)  [#you said #seg-049]
[2025-07-06T00:00:53Z] (neutral)  [#you said #seg-054]
[2025-07-06T00:00:59Z] (neutral)  [#you said #seg-060]
[2025-07-06T00:00:60Z] (neutral)  [#you said #seg-061]
[2025-07-06T00:00:66Z] (neutral)  [#you said #seg-067]
[2025-07-06T00:00:72Z] (neutral)  [#you said #seg-073]
[2025-07-06T00:00:76Z] (neutral)  [#you said #seg-077]
[2025-07-06T00:00:83Z] (neutral)  [#you said #seg-084]
[2025-07-06T00:00:89Z] (neutral)  [#you said #seg-090]
[2025-07-06T00:00:90Z] (neutral)  [#you said #seg-091]
[2025-07-06T00:00:91Z] (neutral)  [#you said #seg-092]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:94Z] (neutral)  [#you said #seg-095]
[2025-07-06T00:00:96Z] (neutral)  [#you said #seg-097]
[2025-07-06T00:00:99Z] (neutral)  [#you said #seg-100]
[2025-07-06T00:00:102Z] (neutral)  [#you said #seg-103]
[2025-07-06T00:00:103Z] (neutral)  [#you said #seg-104]
[2025-07-06T00:00:104Z] (neutral)  [#you said #seg-105]
[2025-07-06T00:00:105Z] (neutral)  [#you said #seg-106]
[2025-07-06T00:00:109Z] (neutral)  [#you said #seg-110]
[2025-07-06T00:00:111Z] (neutral)  [#you said #seg-112]
[2025-07-06T00:00:112Z] (neutral)  [#you said #seg-113]
[2025-07-06T00:00:113Z] (neutral)  [#you said #seg-114]
[2025-07-06T00:00:116Z] (neutral)  [#you said #seg-117]
[2025-07-06T00:00:117Z] (neutral)  [#you said #seg-118]
[2025-07-06T00:00:117Z] (neutral)  [#you said #seg-118]
[2025-07-06T00:00:118Z] (neutral)  [#you said #seg-119]
[2025-07-06T00:00:119Z] (neutral)  [#you said #seg-120]
[2025-07-06T00:00:120Z] (neutral)  [#you said #seg-121]
[2025-07-06T00:00:120Z] (neutral)  [#you said #seg-121]
[2025-07-06T00:00:120Z] (neutral)  [#you said #seg-121]
[2025-07-06T00:00:124Z] (neutral)  [#you said #seg-125]
[2025-07-06T00:00:124Z] (neutral)  [#you said #seg-125]
[2025-07-06T00:00:128Z] (neutral)  [#you said #seg-129]
[2025-07-06T00:00:128Z] (neutral)  [#you said #seg-129]
[2025-07-06T00:00:132Z] (neutral)  [#you said #seg-133]
[2025-07-06T00:00:132Z] (neutral)  [#you said #seg-133]
[2025-07-06T00:00:132Z] (neutral)  [#you said #seg-133]
[2025-07-06T00:00:132Z] (neutral)  [#you said #seg-133]
[2025-07-06T00:00:134Z] (neutral)  [#you said #seg-135]
[2025-07-06T00:00:134Z] (neutral)  [#you said #seg-135]
[2025-07-06T00:00:134Z] (neutral)  [#you said #seg-135]
[2025-07-06T00:00:134Z] (neutral)  [#you said #seg-135]
[2025-07-06T00:00:136Z] (neutral)  [#you said #seg-137]
[2025-07-06T00:00:140Z] (neutral)  [#you said #seg-141]
[2025-07-06T00:00:140Z] (neutral)  [#you said #seg-141]
[2025-07-06T00:00:141Z] (neutral)  [#you said #seg-142]
[2025-07-06T00:00:143Z] (neutral)  [#you said #seg-144]
[2025-07-06T00:00:145Z] (neutral)  [#you said #seg-146]
[2025-07-06T00:00:146Z] (neutral)  [#you said #seg-147]
[2025-07-06T00:00:146Z] (neutral)  [#you said #seg-147]
[2025-07-06T00:00:147Z] (neutral)  [#you said #seg-148]
[2025-07-06T00:00:148Z] (neutral)  [#you said #seg-149]
[2025-07-06T00:00:148Z] (neutral)  [#you said #seg-149]
[2025-07-06T00:00:148Z] (neutral)  [#you said #seg-149]
[2025-07-06T00:00:148Z] (neutral)  [#you said #seg-149]
[2025-07-06T00:00:152Z] (neutral)  [#you said #seg-153]
[2025-07-06T00:00:154Z] (neutral)  [#you said #seg-155]
[2025-07-06T00:00:159Z] (neutral)  [#you said #seg-160]
[2025-07-06T00:00:159Z] (neutral)  [#you said #seg-160]
[2025-07-06T00:00:159Z] (neutral)  [#you said #seg-160]
[2025-07-06T00:00:159Z] (neutral)  [#you said #seg-160]
[2025-07-06T00:00:161Z] (neutral)  [#you said #seg-162]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:164Z] (neutral)  [#you said #seg-165]
[2025-07-06T00:00:166Z] (neutral)  [#you said #seg-167]
[2025-07-06T00:00:168Z] (neutral)  [#you said #seg-169]
[2025-07-06T00:00:168Z] (neutral)  [#you said #seg-169]
[2025-07-06T00:00:168Z] (neutral)  [#you said #seg-169]
[2025-07-06T00:00:168Z] (neutral)  [#you said #seg-169]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
